==================================================
Results for TC1.txt:
Decimal: 6980368, Binary: 11010101000001100010000, Hexadecimal: 6A8310
Decimal: 5517055, Binary: 10101000010111011111111, Hexadecimal: 542EFF
Decimal: 1336159, Binary: 101000110001101011111, Hexadecimal: 14635F
Decimal: 6750185, Binary: 11001101111111111101001, Hexadecimal: 66FFE9
Decimal: 1771937, Binary: 110110000100110100001, Hexadecimal: 1B09A1
Decimal: 360952, Binary: 1011000000111111000, Hexadecimal: 581F8
Decimal: 5672561, Binary: 10101101000111001110001, Hexadecimal: 568E71
Decimal: 916583, Binary: 11011111110001100111, Hexadecimal: DFC67
Decimal: 2700138, Binary: 1010010011001101101010, Hexadecimal: 29336A
Decimal: 9645053, Binary: 100100110010101111111101, Hexadecimal: 932BFD
Decimal: 1181110, Binary: 100100000010110110110, Hexadecimal: 1205B6
Decimal: 1492185, Binary: 101101100010011011001, Hexadecimal: 16C4D9
Decimal: 4018595, Binary: 1111010101000110100011, Hexadecimal: 3D51A3
Decimal: 7654888, Binary: 11101001100110111101000, Hexadecimal: 74CDE8
Decimal: 7062453, Binary: 11010111100001110110101, Hexadecimal: 6BC3B5
Decimal: 2478010, Binary: 1001011100111110111010, Hexadecimal: 25CFBA
Decimal: 6134768, Binary: 10111011001101111110000, Hexadecimal: 5D9BF0
Decimal: 8420417, Binary: 100000000111110001000001, Hexadecimal: 807C41
Decimal: 2917489, Binary: 1011001000010001110001, Hexadecimal: 2C8471
Decimal: 3340773, Binary: 1100101111100111100101, Hexadecimal: 32F9E5
Decimal: 1115956, Binary: 100010000011100110100, Hexadecimal: 110734
Decimal: 9172192, Binary: 100010111111010011100000, Hexadecimal: 8BF4E0
Decimal: 6271996, Binary: 10111111011001111111100, Hexadecimal: 5FB3FC
Decimal: 8686939, Binary: 100001001000110101011011, Hexadecimal: 848D5B
Decimal: 50986, Binary: 1100011100101010, Hexadecimal: C72A
Decimal: 9376410, Binary: 100011110001001010011010, Hexadecimal: 8F129A
Decimal: 5962327, Binary: 10110101111101001010111, Hexadecimal: 5AFA57
Decimal: 7686891, Binary: 11101010100101011101011, Hexadecimal: 754AEB
Decimal: 6615183, Binary: 11001001111000010001111, Hexadecimal: 64F08F
